model,category,part_number,normalized_part_number,description,
SA-9900,Integrated Amplifier,ANB-337-A,ANB-337,Side Panel (L) (Model D),
SA-9900,Integrated Amplifier,ANB-338-0,ANB-338,Side Panel (L) (Model GN),
TX-9100,Tuner,AAA-017-A,AAA-017,Knob (TUNING),
TX-9100,Tuner,AAB-041-0,AAB-041,Knob (FUNCTION),
TX-9100,Tuner,AAD-040-B,AAD-040,"Knob (POWER,MUTING,NOISE FILTER,PULSE NOISE)",
TX-9100,Tuner,ACV-115-0,ACV-115,"Potentiometer (dual) 100k-B2. (OUTPUT LEVEL - AM,FM,PHONES)",
TX-9100,Tuner,ANB-189,ANB-189,Front panel assembly,
TX-9100,Tuner,ASK-042-0,ASK-042,Switch (MUTING/MPX FILTER),
TX-9100,Tuner,ASK-043-0,ASK-043,Switch (PULSE NOISE),
A-9,Integrated Amplifier,ARB-396,ARB-396,Operating instructions A-9,
A-9,Integrated Amplifier,ASG-534,ASG-534,SWITCH(POWER - Pioneer Electronics database) - KU?,
SG-9500,Equalizer,ANE-079,ANE-079,BONNET,
RG-1,Dynamic Range Expander,ABA-012,ABA-012,SCREW(STEEL),
RG-1,Dynamic Range Expander,ANE-096,ANE-096,BONNET,
RG-2,Dynamic Range Expander,AEL-324,AEL-324,LED(SPEAKER/TAPE MONITOR),
RG-2,Dynamic Range Expander,AEL-325,AEL-325,LED(POWER),
RG-2,Dynamic Range Expander,ART-366,ART-366,Service manual  RG-2,
RG-2,Dynamic Range Expander,ASG-317,ASG-317,SWITCH(TAPE/PROCESSOR ASSY),
A-8,Integrated Amplifier,AAB-259,AAB-259,KNOB(BASS/TREBLE),
A-8,Integrated Amplifier,ACH-209,ACH-209,CAPA(12000/63V),
A-8,Integrated Amplifier,AEL-325,AEL-325,LED(POWER),
A-8,Integrated Amplifier,AEL-346,AEL-346,GREEN LED,
A-8,Integrated Amplifier,ANB-976,ANB-976,DOOR,
A-8,Integrated Amplifier,ARB-395,ARB-395,Operating instructions  A-8,
A-8,Integrated Amplifier,ASG-280,ASG-280,SWITCH(FUNCTION),
A-8,Integrated Amplifier,ASG-281,ASG-281,PUSH SWITCH,
A-8,Integrated Amplifier,AXC-008,AXC-008,DOOR,
TX-9800,Tuner,AAA-057,AAA-057,KNOB(TUNING),
TX-9800,Tuner,AAB-196,AAB-196,KNOB(SPKR/BASS/TREBLE/BAL,
TX-9800,Tuner,AAW-002,AAW-002,METER(TUNING),
TX-9800,Tuner,ARB-308,ARB-308,O/M TX-9800,
TX-9800,Tuner,ART-346,ART-346,S/M(TX9800),
TX-9800,Tuner,ASK-109,ASK-109,SWITCH(TONE),
TX-9800,Tuner,ASK-112,ASK-112,SWITCH,
TX-9800,Tuner,ASK-124,ASK-124,POWER SWITCH,
TX-9800,Tuner,AXB-012,AXB-012,BRACKET F/ANTENNA SX750,
TX-9500,Tuner,ARB-132,ARB-132,Operating instructions TX-9500,
TX-9500,Tuner,ART-106,ART-106,Service Manual TX-9500,
TX-9500II,Tuner,ADF-125,ADF-125,CORD SET,
TX-9500II,Tuner,AEL-072,AEL-072,"PILOT LAMP(SPEAKER ""B""/STEREO)",
TX-9500II,Tuner,AEL-080,AEL-080,PILOT LAMP,
TX-9500II,Tuner,ANE-115,ANE-115,BONNET,
A-27,Integrated Amplifier,ACH-202,ACH-202,CAPACITOR,
A-27,Integrated Amplifier,ACN-020,ACN-020,RESISTOR,
A-40,Integrated Amplifier,ANB-632,ANB-632,FRONT PANEL,
A-40,Integrated Amplifier,ARB-284,ARB-284,Operating instructions A-27,
A-70,Integrated Amplifier,ACN-039,ACN-039,RESISTOR(.22 OHMS/2 WATTS),
A-70,Integrated Amplifier,ACN-064,ACN-064,RESISTOR A70,
A-70,Integrated Amplifier,AEL-388,AEL-388,LED(STEREO/POWER),
A-717,Integrated Amplifier,ACH-268,ACH-268,CAP(12000/71V)A-80,
A-717,Integrated Amplifier,ACH-269,ACH-269,CAP(1000/100V)A-80,
A-717,Integrated Amplifier,ACN-144,ACN-144,RESISTOR(150 OHMS/10 WATTS),
A-717,Integrated Amplifier,ACN-146,ACN-146,RESISTOR A-80 .22/5WX2,
A-717,Integrated Amplifier,AEC-613,AEC-613,FOOT ASSY,
A-717,Integrated Amplifier,AEL-075,AEL-075,"SPKR, FUNCTION LAMP",
A-717,Integrated Amplifier,AEL-093,AEL-093,PILOT LAMP A-80,
A-717,Integrated Amplifier,AEL-404,AEL-404,LED AX3,
A-717,Integrated Amplifier,ASE-023,ASE-023,SWITCH(MODE),
A-717,Integrated Amplifier,ASG-545,ASG-545,SWITCH(POWER),
A-717,Integrated Amplifier,SEAV2S,SEAV2S,SWITCH(RANGE/SUBSONIC/SIMULATED,
A-717,Integrated Amplifier,SEAV4S,SEAV4S,SWITCH(FUNCTION-AUX#1/#2...ETC.,
A-717,Integrated Amplifier,ACH1045,ACH1045,CAPACITOR A717(22000/63V),
A-717,Integrated Amplifier,ACN-139,ACN-139,RESISTOR(.33X2/5W),
A-717,Integrated Amplifier,AEK1002,AEK1002,FUSE 8A,
A-717,Integrated Amplifier,ASD1002,ASD1002,SW(SPKR)A7171,
A-717,Integrated Amplifier,ASG-553,ASG-553,SWITCH(POWER)A91D,
A-717,Integrated Amplifier,ASG1018,ASG1018,SW(DIRECT)A717,
A-717,Integrated Amplifier,ASU1002,ASU1002,SW(REC SELECTOR),
A-717,Integrated Amplifier,ASU1006,ASU1006,SW(INPUT SELECTOR)A717,
A-717,Integrated Amplifier,ASU1008,ASU1008,SW(PHONO SELECTOR)A717,
