model,category,key_no,symbol,part_number,description
SA-9900,Integrated Amplifier,2,,ANB-337-A,Side Panel (L) (Model D)
SA-9900,Integrated Amplifier,2,,ANB-338-0,Side Panel (L) (Model GN)
TX-9100,Tuner,,,AAA-017-A,Knob (TUNING)
TX-9100,Tuner,,,AAB-041-0,Knob (FUNCTION)
TX-9100,Tuner,,,AAD-040-B,"Knob (POWER,MUTING,NOISE FILTER,PULSE NOISE)"
TX-9100,Tuner,,"VR1,VR2,VR3",ACV-115-0,"Potentiometer (dual) 100k-B2. (OUTPUT LEVEL - AM,FM,PHONES)"
TX-9100,Tuner,,,ANB-189,Front panel assembly
TX-9100,Tuner,,"S2,S3",ASK-042-0,Switch (MUTING/MPX FILTER)
TX-9100,Tuner,,S1,ASK-043-0,Switch (PULSE NOISE)
A-9,Integrated Amplifier,,,ARB-396,Operating instructions A-9
A-9,Integrated Amplifier,,,ASG-534,SWITCH(POWER - Pioneer Electronics database) - KU?
SG-9500,Equalizer,,,ANE-079,BONNET
RG-1,Dynamic Range Expander,,,ABA-012,SCREW(STEEL)
RG-1,Dynamic Range Expander,,,ANE-096,BONNET
RG-2,Dynamic Range Expander,,,AEL-324,LED(SPEAKER/TAPE MONITOR)
RG-2,Dynamic Range Expander,,,AEL-325,LED(POWER)
RG-2,Dynamic Range Expander,,,ART-366,Service manual  RG-2
RG-2,Dynamic Range Expander,,,ASG-317,SWITCH(TAPE/PROCESSOR ASSY)
A-8,Integrated Amplifier,,,AAB-259,KNOB(BASS/TREBLE)
A-8,Integrated Amplifier,,,ACH-209,CAPA(12000/63V)
A-8,Integrated Amplifier,,,AEL-325,LED(POWER)
A-8,Integrated Amplifier,,,AEL-346,GREEN LED
A-8,Integrated Amplifier,,,ANB-976,DOOR
A-8,Integrated Amplifier,,,ARB-395,Operating instructions  A-8
A-8,Integrated Amplifier,,,ASG-280,SWITCH(FUNCTION)
A-8,Integrated Amplifier,,,ASG-281,PUSH SWITCH
A-8,Integrated Amplifier,,,AXC-008,DOOR
TX-9800,Tuner,,,AAA-057,KNOB(TUNING)
TX-9800,Tuner,,,AAB-196,KNOB(SPKR/BASS/TREBLE/BAL
TX-9800,Tuner,,,AAW-002,METER(TUNING)
TX-9800,Tuner,,,ARB-308,O/M TX-9800
TX-9800,Tuner,,,ART-346,S/M(TX9800)
TX-9800,Tuner,,,ASK-109,SWITCH(TONE)
TX-9800,Tuner,,,ASK-112,SWITCH
TX-9800,Tuner,,,ASK-124,POWER SWITCH
TX-9800,Tuner,,,AXB-012,BRACKET F/ANTENNA SX750
TX-9500,Tuner,,,ARB-132,Operating instructions TX-9500
TX-9500,Tuner,,,ART-106,Service Manual TX-9500
TX-9500II,Tuner,,,ADF-125,CORD SET
TX-9500II,Tuner,,,AEL-072,"PILOT LAMP(SPEAKER ""B""/STEREO)"
TX-9500II,Tuner,,,AEL-080,PILOT LAMP
TX-9500II,Tuner,,,ANE-115,BONNET
A-27,Integrated Amplifier,,,ACH-202,CAPACITOR
A-27,Integrated Amplifier,,,ACN-020,RESISTOR
A-40,Integrated Amplifier,,,ANB-632,FRONT PANEL
A-40,Integrated Amplifier,,,ARB-284,Operating instructions A-27
A-70,Integrated Amplifier,,,ACN-039,RESISTOR(.22 OHMS/2 WATTS)
A-70,Integrated Amplifier,,,ACN-064,RESISTOR A70
A-70,Integrated Amplifier,,,AEL-388,LED(STEREO/POWER)
A-717,Integrated Amplifier,,,ACH-268,CAP(12000/71V)A-80
A-717,Integrated Amplifier,,,ACH-269,CAP(1000/100V)A-80
A-717,Integrated Amplifier,,,ACN-144,RESISTOR(150 OHMS/10 WATTS)
A-717,Integrated Amplifier,,,ACN-146,RESISTOR A-80 .22/5WX2
A-717,Integrated Amplifier,,,AEC-613,FOOT ASSY
A-717,Integrated Amplifier,,,AEL-075,"SPKR, FUNCTION LAMP"
A-717,Integrated Amplifier,,,AEL-093,PILOT LAMP A-80
A-717,Integrated Amplifier,,,AEL-404,LED AX3
A-717,Integrated Amplifier,,,ASE-023,SWITCH(MODE)
A-717,Integrated Amplifier,,,ASG-545,SWITCH(POWER)
A-717,Integrated Amplifier,,,SEAV2S,SWITCH(RANGE/SUBSONIC/SIMULATED
A-717,Integrated Amplifier,,,SEAV4S,SWITCH(FUNCTION-AUX#1/#2...ETC.
A-717,Integrated Amplifier,,,ACH1045,CAPACITOR A717(22000/63V)
A-717,Integrated Amplifier,,,ACN-139,RESISTOR(.33X2/5W)
A-717,Integrated Amplifier,,,AEK1002,FUSE 8A
A-717,Integrated Amplifier,,,ASD1002,SW(SPKR)A7171
A-717,Integrated Amplifier,,,ASG-553,SWITCH(POWER)A91D
