model,category,part_number,normalized_part_number,description
PL-200/200X,Turntable,ART-426-0,ART-426,Service manual  PL-200/200X
PL-200/200X,Turntable,B23-642,B23-642,Cartridge mounting washer (PL-200X)
PL-200/200X,Turntable,H56-603,H56-603,Vinyl bag
PL-200/200X,Turntable,KBA-045,KBA-045,Cartridge mounting screw (PL-200X)
PL-200/200X,Turntable,N93-603,N93-603,45 adaptor
PL-200/200X,Turntable,PAC-041,PAC-041,AS knob (PL-200X)
PL-200/200X,Turntable,PAC-043,PAC-043,Push button
PL-200/200X,Turntable,PAC-044,PAC-044,Button
PL-200/200X,Turntable,PAC-045,PAC-045,AS knob (PL-200)
PL-200/200X,Turntable,PAC-047,PAC-047,Knob
PL-200/200X,Turntable,PAM-060,PAM-060,Name plate (PL-200)
PL-200/200X,Turntable,PAM-061,PAM-061,Name plate (PL-200)
PL-200/200X,Turntable,PAM-064,PAM-064,Name plate (PL-200X)
PL-200/200X,Turntable,PAM-065,PAM-065,Name plate (PL-200X)
PL-200/200X,Turntable,PBA-086,PBA-086,Screw
PL-200/200X,Turntable,PBA-099,PBA-099,Screw
PL-200/200X,Turntable,PBA-100,PBA-100,Screw
PL-200/200X,Turntable,PBA-103,PBA-103,Screw
PL-200/200X,Turntable,PBA-108,PBA-108,Screw
PL-200/200X,Turntable,PBA-109,PBA-109,Screw
PL-200/200X,Turntable,PBE-012,PBE-012,Washer
PL-200/200X,Turntable,PBF-005,PBF-005,AS washer
PL-200/200X,Turntable,PBH-108,PBH-108,Foot spring
PL-200/200X,Turntable,PBH-224,PBH-224,Spring
PL-200/200X,Turntable,PBH-225,PBH-225,Spring
PL-200/200X,Turntable,PBH-236,PBH-236,AS spring
PL-200/200X,Turntable,PBH-237,PBH-237,EV spring
PL-200/200X,Turntable,PBH-238,PBH-238,Hexagon socket headless set screw
PL-200/200X,Turntable,PBH-240,PBH-240,Lens holder
PL-200/200X,Turntable,PBH-241,PBH-241,Foot spring B
PL-200/200X,Turntable,PBH-259,PBH-259,EV lever unit
PL-200/200X,Turntable,PBH-261,PBH-261,Push button Spring
PL-200/200X,Turntable,PBK-042,PBK-042,PU plate A
PL-200/200X,Turntable,PBN-902,PBN-902,Cartridge mouming nut (PL-200X)
PL-200/200X,Turntable,PCS-016,PCS-016,Variable resistor Speed control 5k-B
PL-200/200X,Turntable,PDE-061,PDE-061,Connector assembly
PL-200/200X,Turntable,PDE-064,PDE-064,OUTPUT cord
PL-200/200X,Turntable,PDE-070,PDE-070,Connector assembly
PL-200/200X,Turntable,PDG-017,PDG-017,AC power cord
PL-200/200X,Turntable,PEB-150,PEB-150,Rubber mat assembly (KCT)
PL-200/200X,Turntable,PEB-150,PEB-150,Rubber mat assembly (KCT)
PL-200/200X,Turntable,PEB-152,PEB-152,"Rubber mat assembly (KUT, KU)"
PL-200/200X,Turntable,PEB-152,PEB-152,"Rubber mat assembly (KUT, KU)"
PL-200/200X,Turntable,PEB-163,PEB-163,Rubber cushion
PL-200/200X,Turntable,PEC-056,PEC-056,Strain relief
PL-200/200X,Turntable,PEC-057,PEC-057,Insulator
PL-200/200X,Turntable,PEC-058,PEC-058,Strain relief
PL-200/200X,Turntable,PEC-065,PEC-065,EV cam cushion
PL-200/200X,Turntable,PEL-037,PEL-037,Neon lamp
PL-200/200X,Turntable,PHA-107,PHA-107,Side protector L
PL-200/200X,Turntable,PHA-108,PHA-108,Side protector R
PL-200/200X,Turntable,PHG-386,PHG-386,Packing case (PL-200/KUT)
PL-200/200X,Turntable,PHG-387,PHG-387,Packing case (PL-200/KCT)
PL-200/200X,Turntable,PHG-388,PHG-388,Packing case  (PL-200X)
PL-200/200X,Turntable,PNC-126,PNC-126,START plate
PL-200/200X,Turntable,PNR-114,PNR-114,Turntable platter
PL-200/200X,Turntable,PNV-034,PNV-034,Dust cover
PL-200/200X,Turntable,PNX-015,PNX-015,lnsulator
PL-200/200X,Turntable,PNX-030,PNX-030,Switch lever
PL-200/200X,Turntable,PNX-031,PNX-031,Switch plate
PL-200/200X,Turntable,PNX-033,PNX-033,EV cam
PL-200/200X,Turntable,PNX-035,PNX-035,Plate
PL-200/200X,Turntable,PNX-036,PNX-036,Cam
PL-200/200X,Turntable,PNX-051,PNX-051,Lens
PL-200/200X,Turntable,PNX-052,PNX-052,Button guide A
PL-200/200X,Turntable,PNX-053,PNX-053,Arm base (PL-200)
PL-200/200X,Turntable,PNX-054,PNX-054,AS adjusting plate
