model,category,part_number,normalized_part_number,description
PL-A505,Turntable,KKC-101-A,KKC-101,Terminal
PL-51,Turntable,KKE-003-B,KKE-003,Terminal board (5P)
PL-51A,Turntable,KKE-006-B,KKE-006,Terrmnal board (5P)
PL-55X,Turntable,KKE-006-B,KKE-006,Terminal
PL-71,Turntable,KKE-006-B,KKE-006,Terminal board (5P)
PL-55/55D,Turntable,KKP-006-0,KKP-006,Voltage selector socket
PL-55/55D,Turntable,KKP-007-A,KKP-007,Voltage selector plug
PL-500X,Turntable,KKR-001,KKR-001,Fuse holder
PL-510A,Turntable,KKR-001,KKR-001,Power supply assembly B Fuse clip  (HGT)
PL-A45D,Turntable,KKR-001-0,KKR-001,Fuse holder
PL-520,Turntable,KLA-068,KLA-068,Coller
PL-A35,Turntable,KLA-068-A,KLA-068,Return lever hob
PL-A45,Turntable,KLA-068-A,KLA-068,Return lever hub
PL-A45D,Turntable,KLA-068-B,KLA-068,Return lever hub
PL-A505,Turntable,KLA-068-B,KLA-068,Ring
PL-51,Turntable,KLA-111-0,KLA-111,Clamp pin
PL-51A,Turntable,KLA-111-0,KLA-111,Clamp pin
PL-A35,Turntable,KLA-112-0,KLA-112,Screw
PL-51,Turntable,KLA-131-0,KLA-131,Sub weight A
PL-51,Turntable,KLA-131-0,KLA-131,Subweight A
PL-51A,Turntable,KLA-131-0,KLA-131,Sub weight A
PL-51A,Turntable,KLA-131-0,KLA-131,Subweight A
PL-55/55D,Turntable,KLA-131-0,KLA-131,Sub-weight
PL-55X,Turntable,KLA-131-0,KLA-131,Sub weight
PL-A505,Turntable,KLA-131-0,KLA-131,Sub weight A
PL-71,Turntable,KLA-141-0,KLA-141,Shaft
PL-A505,Turntable,KLA-151-0,KLA-151,Sub weight B
PL-51,Turntable,KLA-154-0,KLA-154,Bail lever shaft
PL-51A,Turntable,KLA-154-0,KLA-154,Ball lever shaft
PL-55/55D,Turntable,KLA-154-0,KLA-154,Shaft
PL-51,Turntable,KLA-155-B,KLA-155,Spacer (A)
PL-51A,Turntable,KLA-155-B,KLA-155,Spacer (A)
PL-55/55D,Turntable,KLA-155-B,KLA-155,Washer
PL-A35,Turntable,KLA-159-0,KLA-159,Nut
PL-A45,Turntable,KLA-159-0,KLA-159,Nut
PL-A45D,Turntable,KLA-159-0,KLA-159,Nut
PL-A505,Turntable,KLA-215-A,KLA-215,Nut
PL-A505,Turntable,KLA-217-0,KLA-217,Ring
PL-A505,Turntable,KLA-219-0,KLA-219,Shaft
PL-A505,Turntable,KLA-225-A,KLA-225,Shaft
PL-A505,Turntable,KLA-226-0,KLA-226,Pole
PL-A505,Turntable,KLA-231-0,KLA-231,Rod
PL-51,Turntable,KLA-240-0,KLA-240,Rest stand
PL-51A,Turntable,KLA-240-0,KLA-240,Rest stand
PL-55/55D,Turntable,KLA-252-0,KLA-252,Spacer
PL-A505,Turntable,KLA-253-A,KLA-253,Pole A
PL-A505,Turntable,KLA-254-A,KLA-254,Pole B
PL-A505,Turntable,KLA-258-0,KLA-258,Single play spindle
PL-55/55D,Turntable,KLA-325-0,KLA-325,Holder
PL-55X,Turntable,KLA-325-0,KLA-325,Shaft holder
PL-55/55D,Turntable,KLA-326-0,KLA-326,Guide pin
PL-A505,Turntable,KLA-337-A,KLA-337,Button shaft
PL-12E,Turntable,KLA-350-A,KLA-350,Elevation shaft
PL-51,Turntable,KLA-350-A,KLA-350,Elevation shaft
PL-51A,Turntable,KLA-350-A,KLA-350,Elevation shaft
PL-12E,Turntable,KLA-359-A,KLA-359,Subweight
PL-15D,Turntable,KLA-374-A,KLA-374,Center shaft bearing
PL-15D,Turntable,KLA-389-0,KLA-389,Collar
PL-15D,Turntable,KLA-389-0,KLA-389,Collar
PL-15D,Turntable,KLA-390-A,KLA-390,Collar
PL-15D,Turntable,KLA-392-A,KLA-392,Collar
PL-117D,Turntable,KLA-438,KLA-438,Lateral weight
PL-12DII,Turntable,KLA-438-C,KLA-438,Lateral weight
PL-510,Turntable,KLA-438,KLA-438,Lateral weight
PL-510A,Turntable,KLA-438,KLA-438,Lateral weight
PL-510S,Turntable,KLA-438,KLA-438,Lateral weight
PL-530,Turntable,KLA-438,KLA-438,Lateral weight
PL-550,Turntable,KLA-438,KLA-438,Lateral weight
PL-55X,Turntable,KLA-438-C,KLA-438,Lateral balance Weight
PL-570,Turntable,KLA-438,KLA-438,Lateral weight
PL-A505,Turntable,KLA-457-0,KLA-457,Washer
PL-A505,Turntable,KLA-458-0,KLA-458,Shaft
PL-A505,Turntable,KLA-459-A,KLA-459,Center shaft
PL-A505,Turntable,KLA-488-0,KLA-488,Washer
PL-12DII,Turntable,KLA-494-A,KLA-494,Subweight
PL-15D,Turntable,KLA-494-A,KLA-494,Sub weight
PL-A45,Turntable,KLA-494-A,KLA-494,Sub-weight
PL-A45D,Turntable,KLA-494-A,KLA-494,Sub-weight
PL-51,Turntable,KLA-518-A,KLA-518,Knob
PL-51A,Turntable,KLA-518-A,KLA-518,Knob
PL-55/55D,Turntable,KLA-518-A,KLA-518,Knob
PL-55X,Turntable,KLA-518-A,KLA-518,Knob (SPEED CONTROL)
PL-71,Turntable,KLA-518-A,KLA-518,Knob  speed control
PL-51,Turntable,KLA-527-0,KLA-527,Push button
PL-51A,Turntable,KLA-527-0,KLA-527,Push button
PL-55/55D,Turntable,KLA-527-0,KLA-527,Button
PL-55X,Turntable,KLA-527-0,KLA-527,Push button (SPEED SELECTOR)
PL-51,Turntable,KLA-530-C,KLA-530,Button shaft
PL-51A,Turntable,KLA-530-C,KLA-530,Button shaft
PL-55/55D,Turntable,KLA-530-0,KLA-530,Shaft
PL-51,Turntable,KLA-573-0,KLA-573,Shaft
PL-51,Turntable,KLA-574-0,KLA-574,Function lever
PL-51A,Turntable,KLA-574-0,KLA-574,Function lever
PL-51,Turntable,KLA-575-0,KLA-575,Shaft
PL-71,Turntable,KLA-588-0,KLA-588,Adaptor pin
PL-51,Turntable,KLA-601-0,KLA-601,Adaptor catch
PL-51A,Turntable,KLA-601-0,KLA-601,Adaptor catch
PL-71,Turntable,KLA-632-B,KLA-632,Main weight
PL-71,Turntable,KLA-633-B,KLA-633,Lateral balance weight
PL-A505,Turntable,KLA-655-0,KLA-655,Shaft
PL-55/55D,Turntable,KLA-671-0,KLA-671,Tonearm stand
PL-55X,Turntable,KLA-671-0,KLA-671,Arm rest holder
PL-55/55D,Turntable,KLA-679-0,KLA-679,Shaft
PL-55X,Turntable,KLA-679-C,KLA-679,Shaft
PL-55/55D,Turntable,KLA-683-0,KLA-683,Screw
PL-55X,Turntable,KLA-683-0,KLA-683,Adjust screw
PL-71,Turntable,KLA-710-B,KLA-710,Arm stand
PL-71,Turntable,KLA-716-0,KLA-716,Rest stand
PL-71,Turntable,KLA-727-0,KLA-727,Shaft
PL-71,Turntable,KLA-748-0,KLA-748,Nut
PL-12E,Turntable,KMM-053-0,KMM-053,Wooden base
PL-A45,Turntable,KMM-060-A,KMM-060,Wooden base
PL-A505,Turntable,KMM-070-A,KMM-070,Wooden case
PL-55/55D,Turntable,KMM-071-A,KMM-071,Upper board
PL-15D,Turntable,KMM-072-0,KMM-072,Wooden case assembly
PL-51,Turntable,KMM-074-A,KMM-074,Upper board
PL-71,Turntable,KMM-077-F,KMM-077,Upper board
PL-A45D,Turntable,KMM-090-0,KMM-090,Wooden base
PL-51A,Turntable,KMM-093-A,KMM-093,Upper board
PL-A35,Turntable,KMN-021-C,KMN-021,Wooden base
PL-A35,Turntable,KMS-024-0,KMS-024,Bottom cover unit
PL-51,Turntable,KMS-067-0,KMS-067,Bottom cover
PL-A45,Turntable,KMS-069-0,KMS-069,Bottom cover
PL-51A,Turntable,KMS-074-0,KMS-074,Bottom cover
PL-55/55D,Turntable,KMS-074-0,KMS-074,Bottom cover
PL-55X,Turntable,KMS-074-0,KMS-074,Bottom cover
PL-71,Turntable,KMS-074-0,KMS-074,Bottom cover
PL-15D,Turntable,KMS-076-0,KMS-076,Bottom cover
PL-A505,Turntable,KMS-089-0,KMS-089,Wooden board
PL-50,Turntable,KNA-006-0,KNA-006,Spring hanger
PL-A35,Turntable,KNA-097-0,KNA-097,Rubber washer
PL-A45,Turntable,KNA-097-0,KNA-097,Rubber washer
PL-A45D,Turntable,KNA-097-0,KNA-097,Rubber washer
PL-A35,Turntable,KNA-099-B,KNA-099,Plate spring (D)
PL-A45,Turntable,KNA-099-B,KNA-099,Plate spring (D)
PL-A45D,Turntable,KNA-099-B,KNA-099,Plate spring (D)
PL-520,Turntable,KNA-100,KNA-100,Lever
PL-A35,Turntable,KNA-100-A,KNA-100,Crank lever
PL-A45,Turntable,KNA-100-A,KNA-100,Crank lever
PL-A45D,Turntable,KNA-100-0,KNA-100,Crank lever
PL-A35,Turntable,KNA-101-A,KNA-101,Actuator (A)
PL-A45,Turntable,KNA-101-A,KNA-101,Actuator (Al
PL-A45D,Turntable,KNA-101-A,KNA-101,Actuator (A)
PL-A35,Turntable,KNA-102-B,KNA-102,Actuator (B)
PL-A45,Turntable,KNA-102-B,KNA-102,Actuator (B)
PL-A45D,Turntable,KNA-102-B,KNA-102,Actuator (B)
PL-A35,Turntable,KNA-103-A,KNA-103,Break lever
PL-A45,Turntable,KNA-103-A,KNA-103,Break lever
PL-A45D,Turntable,KNA-103-A,KNA-103,Break lever
PL-520,Turntable,KNA-104,KNA-104,Lever
PL-A35,Turntable,KNA-104-C,KNA-104,Return lever
PL-A45,Turntable,KNA-104-C,KNA-104,Return lever
PL-A45D,Turntable,KNA-104-C,KNA-104,Return lever
PL-A35,Turntable,KNA-111-0,KNA-111,Function lever
PL-A45,Turntable,KNA-111-0,KNA-111,Function lever
PL-A45D,Turntable,KNA-111-0,KNA-111,Function lever
PL-12E,Turntable,KNA-125-A,KNA-125,Tray washer
PL-51,Turntable,KNA-125-A,KNA-125,Washer
PL-51A,Turntable,KNA-125-A,KNA-125,Washer
PL-600/600X,Turntable,KNA-125,KNA-125,Cap
PL-A505,Turntable,KNA-125-A,KNA-125,Cap
PL-71,Turntable,KNA-138-C,KNA-138,Angle
PL-51,Turntable,KNA-142-A,KNA-142,Bail lever
PL-71,Turntable,KNA-144-B,KNA-144,Button stopper angle
PL-A35,Turntable,KNA-170-0,KNA-170,Washer
